Processing data...
PUT http://localhost:9200/mini_data_train_search/_doc/232 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/233 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/234 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/235 [status:201 duration:0.057s]
PUT http://localhost:9200/mini_data_train_search/_doc/236 [status:201 duration:0.026s]
PUT http://localhost:9200/mini_data_train_search/_doc/237 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/238 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/239 [status:201 duration:0.059s]
PUT http://localhost:9200/mini_data_train_search/_doc/240 [status:201 duration:0.059s]
PUT http://localhost:9200/mini_data_train_search/_doc/241 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/242 [status:201 duration:0.021s]
PUT http://localhost:9200/mini_data_train_search/_doc/243 [status:201 duration:0.056s]
PUT http://localhost:9200/mini_data_train_search/_doc/244 [status:201 duration:0.059s]
PUT http://localhost:9200/mini_data_train_search/_doc/245 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/246 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/247 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/248 [status:201 duration:0.026s]
PUT http://localhost:9200/mini_data_train_search/_doc/249 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/250 [status:201 duration:0.050s]
PUT http://localhost:9200/mini_data_train_search/_doc/251 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/252 [status:201 duration:0.015s]
PUT http://localhost:9200/mini_data_train_search/_doc/253 [status:201 duration:0.014s]
PUT http://localhost:9200/mini_data_train_search/_doc/254 [status:201 duration:0.028s]
PUT http://localhost:9200/mini_data_train_search/_doc/255 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/256 [status:201 duration:0.060s]
PUT http://localhost:9200/mini_data_train_search/_doc/257 [status:201 duration:0.050s]
PUT http://localhost:9200/mini_data_train_search/_doc/258 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/259 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/260 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/261 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/262 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/263 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/264 [status:201 duration:0.073s]
PUT http://localhost:9200/mini_data_train_search/_doc/265 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/266 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/267 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/268 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/269 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/270 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/271 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/272 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/273 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/274 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/275 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/276 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/277 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/278 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/279 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/280 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/281 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/282 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/283 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/284 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/285 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/286 [status:201 duration:0.049s]
PUT http://localhost:9200/mini_data_train_search/_doc/287 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/288 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/289 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/290 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/291 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/292 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/293 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/294 [status:201 duration:0.051s]
PUT http://localhost:9200/mini_data_train_search/_doc/295 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/296 [status:201 duration:0.051s]
PUT http://localhost:9200/mini_data_train_search/_doc/297 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/298 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/299 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/300 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/301 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/302 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/303 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/304 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/305 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/306 [status:201 duration:0.058s]
PUT http://localhost:9200/mini_data_train_search/_doc/307 [status:201 duration:0.059s]
PUT http://localhost:9200/mini_data_train_search/_doc/308 [status:201 duration:0.015s]
PUT http://localhost:9200/mini_data_train_search/_doc/309 [status:201 duration:0.014s]
PUT http://localhost:9200/mini_data_train_search/_doc/310 [status:201 duration:0.017s]
